prefix,marker
ANG,angel_d
ARG,argoso
ASH,ashala
AUS,austin_
AVA,avatar_
AZU,azulita
A_B,a_bubble
BEN,bennett_
BIG,bigfeet_
BLA,BlahBlahNewPet
BOB,bobinas_
BRA,brandons
BUB,bubbles
CHE,cherri_
CIN,cinamion
CLA,clark_
COC,cocoab
CRA,crash_
CUD,cuddlybear
CYN,cynthia
DIS,disappearing_
DOL,dollabill
DRA,dragom
DUD,dudley_
FLI,flipperb
FOF,fofis_
FRA,frankie_
FUI,fuinha_
GRA,grarl_
GUI,guido_
HUS,hussam_
JOY,joyce
JUB,jubij
KIK,kiko_
KOK,koki
KRA,krazyk
KUK,kukulu
KYL,kyle_
LER,leroy
LIG,lightning_
LLA,llama_
LOC,locobo
LUC,lucas_
LYN,lynxclaw_
L_Y,l_yan_l
MAS,mashm
MEE,meercaj
MIC,michonne_
MOE,moehogc
MRL,mrleafy
MUG,mug_b
MYE,myEyrie_
NOM,nomnom_
NUN,nuny_
PIN,pingui_
PLE,pleasehelptime
POK,pokemon_
PRE,prettypretty
PTE,pteritaz
PUF,puffery
RIN,rinokill
ROB,robie
RUB,rubyredo
RYH,ryhorn
SCR,scrufie_
SEB,sebt_
SHA,shamika_
SIL,sillyjessy
SKE,skeithfabio
SLI,slinger_
SME,smellysocks
SNI,snickers_
SOF,sofi_
SPA,spanishland
SQU,squigglesDS
STA,stanley
SUG,suga
SWE,sweetacarar
SYN,syndi_
TIG,tiger_
TOC,toco
TRA,trapoxmo
TUF,tuffy_
TWI,twigess
TYL,tylerch
_SO,_soraj
_TO,_toni_
__G,__gatinhalinda
