prefix,marker
ang,angel_
arg,argoso
ash,ashala
aus,austin_
ava,avatar_
azu,azulita
a_b,a_bubble
ben,bennett_
big,bigfeet_
bla,BlahBlahNewPet
bob,bobinas_
bra,brandons
bub,bubbles
che,cherri_
cin,cinamion
cla,clark_
coc,cocoab
cra,crash_
cud,cuddlybear
cyn,cynthia
dis,disappearing_
dol,dollabill
dra,dragom
dud,dudley_
fli,flipperb
fof,fofis_
fra,frankie_
fui,fuinha_
gra,grarl_
gui,guido_
hus,hussam_
joy,joyce
jub,jubij
kik,kiko_
kok,koki
kra,krazyk
kuk,kukulu
kyl,kyle_
ler,leroy
lig,lightning_
lla,llama_
loc,locobo
luc,lucas_
lyn,lynxclaw_
l_y,l_yan_l
mas,mashm
mee,meercaj
mic,michonne_
moe,moehogc
mrl,mrleafy
mug,mug_b
mye,myEyrie_
nom,nomnom_
nun,nuny_
pin,pingui_
ple,pleasehelptime
pok,pokemon_
pre,prettypretty
pte,pteritaz
puf,puffery
rin,rinokill
rob,robie
rub,rubyredo
ryh,ryhorn
scr,scrufie_
seb,sebt_
sha,shamika_
sil,sillyjessy
ske,skeithfabio
sli,slinger_
sme,smellysocks
sni,snickers_
sof,sofi_
spa,spanishland
squ,squigglesDS
sta,stanley
sug,suga
swe,sweetacarar
syn,syndi_
tig,tiger_
toc,toco
tra,trapoxmo
tuf,tuffy_
twi,twigess
tyl,tylerch
_so,_soraj
_to,_toni_
__g,__gatinhalinda
