suffix,L
a,1.0
b,1.0
c,1.0
d,1.0
e,1.0
f,1.0
g,1.0
h,1.0
i,1.0
j,1.0
k,1.0
l,1.0
m,1.0
n,1.0
o,1.0
p,1.0
q,1.0
r,1.0
s,1.0
t,1.0
u,1.0
v,1.0
w,1.0
x,1.0
y,1.0
z,1.0
aa,2.0
ab,2.0
ac,2.0
ad,2.0
ad,2.0
ae,2.0
af,2.0
ag,2.0
ah,2.0
ai,2.0
aj,2.0
ak,2.0
al,2.0
al,2.0
am,2.0
am,2.0
an,2.0
ao,2.0
ap,2.0
aq,2.0
ar,2.0
as,2.0
at,2.0
au,2.0
av,2.0
aw,2.0
ax,2.0
ay,2.0
ay,2.0
az,2.0
az,2.0
ba,2.0
bb,2.0
bc,2.0
bd,2.0
be,2.0
bf,2.0
bg,2.0
bh,2.0
bi,2.0
bj,2.0
bk,2.0
bl,2.0
bm,2.0
bn,2.0
bo,2.0
bp,2.0
bq,2.0
br,2.0
bs,2.0
bt,2.0
bu,2.0
bv,2.0
bw,2.0
bx,2.0
by,2.0
bz,2.0
ca,2.0
cb,2.0
cc,2.0
cd,2.0
ce,2.0
cf,2.0
cg,2.0
ch,2.0
ci,2.0
cj,2.0
ck,2.0
cl,2.0
cm,2.0
cn,2.0
co,2.0
cp,2.0
cq,2.0
cr,2.0
cs,2.0
ct,2.0
cu,2.0
cv,2.0
cw,2.0
cx,2.0
cy,2.0
cz,2.0
da,2.0
db,2.0
dc,2.0
dd,2.0
de,2.0
df,2.0
dg,2.0
dh,2.0
di,2.0
dj,2.0
dj,2.0
dk,2.0
dl,2.0
dm,2.0
dn,2.0
do,2.0
dp,2.0
dq,2.0
dr,2.0
ds,2.0
dt,2.0
du,2.0
dv,2.0
dw,2.0
dx,2.0
dy,2.0
dz,2.0
ea,2.0
eb,2.0
ec,2.0
ed,2.0
ee,2.0
ef,2.0
eg,2.0
eh,2.0
ei,2.0
ej,2.0
ek,2.0
el,2.0
em,2.0
en,2.0
eo,2.0
ep,2.0
eq,2.0
er,2.0
es,2.0
et,2.0
eu,2.0
ev,2.0
ew,2.0
ex,2.0
ey,2.0
ez,2.0
fa,2.0
fb,2.0
fc,2.0
fd,2.0
fe,2.0
ff,2.0
fg,2.0
fh,2.0
fi,2.0
fj,2.0
fk,2.0
fl,2.0
fm,2.0
fn,2.0
fo,2.0
fp,2.0
fq,2.0
fr,2.0
fs,2.0
ft,2.0
fu,2.0
fv,2.0
fw,2.0
fx,2.0
fy,2.0
fz,2.0
ga,2.0
gb,2.0
gc,2.0
gd,2.0
ge,2.0
gf,2.0
gg,2.0
gh,2.0
gi,2.0
gj,2.0
gk,2.0
gl,2.0
gm,2.0
gn,2.0
go,2.0
gp,2.0
gq,2.0
gr,2.0
gs,2.0
gt,2.0
gu,2.0
gv,2.0
gw,2.0
gx,2.0
gy,2.0
gz,2.0
ha,2.0
hb,2.0
hc,2.0
hd,2.0
he,2.0
hf,2.0
hg,2.0
hh,2.0
hi,2.0
hj,2.0
hk,2.0
hl,2.0
hm,2.0
hn,2.0
ho,2.0
hp,2.0
hq,2.0
hr,2.0
hs,2.0
ht,2.0
hu,2.0
hv,2.0
hw,2.0
hx,2.0
hy,2.0
hz,2.0
ia,2.0
ib,2.0
ic,2.0
id,2.0
ie,2.0
if,2.0
ig,2.0
ih,2.0
ii,2.0
ij,2.0
ik,2.0
il,2.0
im,2.0
in,2.0
io,2.0
ip,2.0
iq,2.0
ir,2.0
is,2.0
it,2.0
iu,2.0
iv,2.0
iw,2.0
ix,2.0
iy,2.0
iz,2.0
ja,2.0
jb,2.0
jc,2.0
jd,2.0
je,2.0
jf,2.0
jg,2.0
jh,2.0
ji,2.0
jj,2.0
jk,2.0
jl,2.0
jm,2.0
jn,2.0
jo,2.0
jp,2.0
jq,2.0
jr,2.0
js,2.0
jt,2.0
ju,2.0
jv,2.0
jw,2.0
jx,2.0
jy,2.0
jz,2.0
ka,2.0
kb,2.0
kc,2.0
kd,2.0
ke,2.0
kf,2.0
kg,2.0
kh,2.0
ki,2.0
kj,2.0
kk,2.0
kl,2.0
km,2.0
kn,2.0
ko,2.0
kp,2.0
kq,2.0
kr,2.0
ks,2.0
kt,2.0
ku,2.0
kv,2.0
kw,2.0
kx,2.0
ky,2.0
kz,2.0
la,2.0
lb,2.0
lc,2.0
ld,2.0
le,2.0
lf,2.0
lg,2.0
lh,2.0
li,2.0
lj,2.0
lk,2.0
ll,2.0
lm,2.0
ln,2.0
lo,2.0
lp,2.0
lq,2.0
lr,2.0
ls,2.0
lt,2.0
lu,2.0
lv,2.0
lw,2.0
lx,2.0
ly,2.0
lz,2.0
ma,2.0
mb,2.0
mc,2.0
md,2.0
me,2.0
mf,2.0
mg,2.0
mh,2.0
mi,2.0
mj,2.0
mk,2.0
ml,2.0
mm,2.0
mn,2.0
mo,2.0
mp,2.0
mq,2.0
mr,2.0
ms,2.0
mt,2.0
mu,2.0
mv,2.0
mw,2.0
mx,2.0
my,2.0
mz,2.0
na,2.0
nb,2.0
nc,2.0
nd,2.0
ne,2.0
nf,2.0
ng,2.0
nh,2.0
ni,2.0
nj,2.0
nk,2.0
nl,2.0
nm,2.0
nn,2.0
no,2.0
np,2.0
nq,2.0
nr,2.0
ns,2.0
nt,2.0
nu,2.0
nv,2.0
nw,2.0
nx,2.0
ny,2.0
nz,2.0
oa,2.0
ob,2.0
oc,2.0
od,2.0
oe,2.0
of,2.0
og,2.0
oh,2.0
oi,2.0
oj,2.0
ok,2.0
ol,2.0
om,2.0
on,2.0
oo,2.0
op,2.0
oq,2.0
or,2.0
os,2.0
ot,2.0
ou,2.0
